trace,C1,B,S1,C2,S2,prefetch,r,L1_AAT,L1_HR,L1_MR,L2_AAT,L2_RHR,L2_RMR,PF_issued,PF_hits,PF_misses,L1_misses,L2_rhits,L2_rmisses,WB_L1
gcc,14,6,1,16,3,markov,4,2.953,0.970,0.030,24.889,0.792,0.208,12998,12090,908,15127,11978,3149,6685
gcc,14,6,1,16,3,markov,16,2.951,0.970,0.030,24.810,0.793,0.207,12998,12082,916,15127,11995,3132,6685
gcc,14,6,1,16,3,markov,32,2.950,0.970,0.030,24.792,0.793,0.207,12998,12075,923,15127,11999,3128,6685
gcc,14,6,1,16,3,markov,64,2.950,0.970,0.030,24.792,0.793,0.207,12998,12075,923,15127,11999,3128,6685
gcc,14,6,1,16,3,markov,128,2.950,0.970,0.030,24.792,0.793,0.207,12998,12075,923,15127,11999,3128,6685
gcc,14,6,1,16,3,markov,256,2.950,0.970,0.030,24.792,0.793,0.207,12998,12075,923,15127,11999,3128,6685
gcc,14,6,1,16,3,markov,512,2.950,0.970,0.030,24.792,0.793,0.207,12998,12075,923,15127,11999,3128,6685
gcc,14,6,1,16,4,markov,4,2.957,0.970,0.030,25.035,0.799,0.201,12998,12219,779,15127,12085,3042,6685
gcc,14,6,1,16,4,markov,16,2.954,0.970,0.030,24.926,0.800,0.200,12998,12195,803,15127,12109,3018,6685
gcc,14,6,1,16,4,markov,32,2.954,0.970,0.030,24.922,0.801,0.199,12998,12189,809,15127,12110,3017,6685
gcc,14,6,1,16,4,markov,64,2.954,0.970,0.030,24.922,0.801,0.199,12998,12189,809,15127,12110,3017,6685
gcc,14,6,1,16,4,markov,128,2.954,0.970,0.030,24.922,0.801,0.199,12998,12189,809,15127,12110,3017,6685
gcc,14,6,1,16,4,markov,256,2.954,0.970,0.030,24.922,0.801,0.199,12998,12189,809,15127,12110,3017,6685
gcc,14,6,1,16,4,markov,512,2.954,0.970,0.030,24.922,0.801,0.199,12998,12189,809,15127,12110,3017,6685
gcc,14,6,1,17,3,markov,4,2.837,0.970,0.030,21.051,0.847,0.153,12998,12796,202,15127,12812,2315,6685
gcc,14,6,1,17,3,markov,16,2.836,0.970,0.030,21.024,0.847,0.153,12998,12785,213,15127,12818,2309,6685
gcc,14,6,1,17,3,markov,32,2.836,0.970,0.030,21.024,0.847,0.153,12998,12784,214,15127,12818,2309,6685
gcc,14,6,1,17,3,markov,64,2.836,0.970,0.030,21.024,0.847,0.153,12998,12784,214,15127,12818,2309,6685
gcc,14,6,1,17,3,markov,128,2.836,0.970,0.030,21.024,0.847,0.153,12998,12784,214,15127,12818,2309,6685
gcc,14,6,1,17,3,markov,256,2.836,0.970,0.030,21.024,0.847,0.153,12998,12784,214,15127,12818,2309,6685
gcc,14,6,1,17,3,markov,512,2.836,0.970,0.030,21.024,0.847,0.153,12998,12784,214,15127,12818,2309,6685
gcc,14,6,1,17,4,markov,4,2.851,0.970,0.030,21.520,0.850,0.150,12998,12837,161,15127,12858,2269,6685
gcc,14,6,1,17,4,markov,16,2.851,0.970,0.030,21.511,0.850,0.150,12998,12832,166,15127,12860,2267,6685
gcc,14,6,1,17,4,markov,32,2.851,0.970,0.030,21.515,0.850,0.150,12998,12831,167,15127,12859,2268,6685
gcc,14,6,1,17,4,markov,64,2.851,0.970,0.030,21.515,0.850,0.150,12998,12831,167,15127,12859,2268,6685
gcc,14,6,1,17,4,markov,128,2.851,0.970,0.030,21.515,0.850,0.150,12998,12831,167,15127,12859,2268,6685
gcc,14,6,1,17,4,markov,256,2.851,0.970,0.030,21.515,0.850,0.150,12998,12831,167,15127,12859,2268,6685
gcc,14,6,1,17,4,markov,512,2.851,0.970,0.030,21.515,0.850,0.150,12998,12831,167,15127,12859,2268,6685
gcc,14,6,2,16,3,markov,4,3.058,0.977,0.023,28.807,0.736,0.264,9298,8299,999,11427,8405,3022,5301
gcc,14,6,2,16,3,markov,16,3.061,0.977,0.023,28.934,0.734,0.266,9298,8303,995,11427,8384,3043,5301
gcc,14,6,2,16,3,markov,32,3.061,0.977,0.023,28.922,0.734,0.266,9298,8304,994,11427,8386,3041,5301
gcc,14,6,2,16,3,markov,64,3.061,0.977,0.023,28.922,0.734,0.266,9298,8302,996,11427,8386,3041,5301
gcc,14,6,2,16,3,markov,128,3.061,0.977,0.023,28.922,0.734,0.266,9298,8302,996,11427,8386,3041,5301
gcc,14,6,2,16,3,markov,256,3.061,0.977,0.023,28.922,0.734,0.266,9298,8302,996,11427,8386,3041,5301
gcc,14,6,2,16,3,markov,512,3.061,0.977,0.023,28.922,0.734,0.266,9298,8302,996,11427,8386,3041,5301
gcc,14,6,2,16,4,markov,4,3.061,0.977,0.023,28.913,0.743,0.257,9298,8391,907,11427,8485,2942,5301
gcc,14,6,2,16,4,markov,16,3.061,0.977,0.023,28.925,0.742,0.258,9298,8380,918,11427,8483,2944,5301
gcc,14,6,2,16,4,markov,32,3.061,0.977,0.023,28.925,0.742,0.258,9298,8374,924,11427,8483,2944,5301
gcc,14,6,2,16,4,markov,64,3.061,0.977,0.023,28.925,0.742,0.258,9298,8374,924,11427,8483,2944,5301
gcc,14,6,2,16,4,markov,128,3.061,0.977,0.023,28.925,0.742,0.258,9298,8374,924,11427,8483,2944,5301
gcc,14,6,2,16,4,markov,256,3.061,0.977,0.023,28.925,0.742,0.258,9298,8374,924,11427,8483,2944,5301
gcc,14,6,2,16,4,markov,512,3.061,0.977,0.023,28.925,0.742,0.258,9298,8374,924,11427,8483,2944,5301
gcc,14,6,2,17,3,markov,4,2.956,0.977,0.023,24.348,0.800,0.200,9298,9073,225,11427,9137,2290,5301
gcc,14,6,2,17,3,markov,16,2.956,0.977,0.023,24.336,0.800,0.200,9298,9061,237,11427,9139,2288,5301
gcc,14,6,2,17,3,markov,32,2.956,0.977,0.023,24.342,0.800,0.200,9298,9061,237,11427,9138,2289,5301
gcc,14,6,2,17,3,markov,64,2.956,0.977,0.023,24.342,0.800,0.200,9298,9061,237,11427,9138,2289,5301
gcc,14,6,2,17,3,markov,128,2.956,0.977,0.023,24.342,0.800,0.200,9298,9061,237,11427,9138,2289,5301
gcc,14,6,2,17,3,markov,256,2.956,0.977,0.023,24.342,0.800,0.200,9298,9061,237,11427,9138,2289,5301
gcc,14,6,2,17,3,markov,512,2.956,0.977,0.023,24.342,0.800,0.200,9298,9061,237,11427,9138,2289,5301
gcc,14,6,2,17,4,markov,4,2.967,0.977,0.023,24.789,0.802,0.198,9298,9131,167,11427,9170,2257,5301
gcc,14,6,2,17,4,markov,16,2.967,0.977,0.023,24.789,0.802,0.198,9298,9128,170,11427,9170,2257,5301
gcc,14,6,2,17,4,markov,32,2.966,0.977,0.023,24.783,0.803,0.197,9298,9125,173,11427,9171,2256,5301
gcc,14,6,2,17,4,markov,64,2.966,0.977,0.023,24.783,0.803,0.197,9298,9125,173,11427,9171,2256,5301
gcc,14,6,2,17,4,markov,128,2.966,0.977,0.023,24.783,0.803,0.197,9298,9125,173,11427,9171,2256,5301
gcc,14,6,2,17,4,markov,256,2.966,0.977,0.023,24.783,0.803,0.197,9298,9125,173,11427,9171,2256,5301
gcc,14,6,2,17,4,markov,512,2.966,0.977,0.023,24.783,0.803,0.197,9298,9125,173,11427,9171,2256,5301
gcc,14,6,3,16,3,markov,4,3.243,0.978,0.022,29.325,0.728,0.272,8834,7823,1011,10963,7982,2981,5151
gcc,14,6,3,16,3,markov,16,3.243,0.978,0.022,29.338,0.728,0.272,8834,7808,1026,10963,7980,2983,5151
gcc,14,6,3,16,3,markov,32,3.243,0.978,0.022,29.344,0.728,0.272,8834,7809,1025,10963,7979,2984,5151
gcc,14,6,3,16,3,markov,64,3.243,0.978,0.022,29.344,0.728,0.272,8834,7808,1026,10963,7979,2984,5151
gcc,14,6,3,16,3,markov,128,3.243,0.978,0.022,29.344,0.728,0.272,8834,7808,1026,10963,7979,2984,5151
gcc,14,6,3,16,3,markov,256,3.243,0.978,0.022,29.344,0.728,0.272,8834,7808,1026,10963,7979,2984,5151
gcc,14,6,3,16,3,markov,512,3.243,0.978,0.022,29.344,0.728,0.272,8834,7808,1026,10963,7979,2984,5151
gcc,14,6,3,16,4,markov,4,3.244,0.978,0.022,29.368,0.736,0.264,8834,7891,943,10963,8068,2895,5151
gcc,14,6,3,16,4,markov,16,3.247,0.978,0.022,29.500,0.734,0.266,8834,7881,953,10963,8047,2916,5151
