trace,C1,B,S1,C2,S2,prefetch,r,L1_AAT,L1_HR,L1_MR,L2_AAT,L2_RHR,L2_RMR,PF_issued,PF_hits,PF_misses,L1_misses,L2_rhits,L2_rmisses,WB_L1
gcc,14,5,0,16,0,plus1,0,3.500,0.954,0.046,32.386,0.661,0.339,4065,2162,1626,23162,15317,7845,11072
gcc,14,5,0,16,1,plus1,0,3.266,0.954,0.046,27.324,0.743,0.257,2965,1382,1426,23162,17203,5959,11072
gcc,14,5,0,16,2,plus1,0,3.046,0.954,0.046,22.584,0.820,0.180,2368,1245,1014,23162,18985,4177,11072
gcc,14,5,0,16,3,plus1,0,3.030,0.954,0.046,22.240,0.836,0.164,2196,1203,925,23162,19353,3809,11072
gcc,14,5,0,16,4,plus1,0,3.066,0.954,0.046,23.022,0.836,0.164,2154,1160,957,23162,19359,3803,11072
gcc,14,5,0,16,5,plus1,0,3.106,0.954,0.046,23.872,0.835,0.165,2164,1113,1035,23162,19343,3819,11072
gcc,14,5,0,17,0,plus1,0,3.023,0.954,0.046,22.079,0.804,0.196,2730,1585,793,23162,18633,4529,11072
gcc,14,5,0,17,1,plus1,0,2.865,0.954,0.046,18.673,0.863,0.137,1969,1227,446,23162,19986,3176,11072
gcc,14,5,0,17,2,plus1,0,2.822,0.954,0.046,17.751,0.887,0.113,1734,1149,297,23162,20540,2622,11072
gcc,14,5,0,17,3,plus1,0,2.853,0.954,0.046,18.423,0.889,0.111,1696,1148,236,23162,20581,2581,11072
gcc,14,5,0,17,4,plus1,0,2.879,0.954,0.046,18.981,0.892,0.108,1670,1143,176,23162,20659,2503,11072
gcc,14,5,0,17,5,plus1,0,2.913,0.954,0.046,19.715,0.893,0.107,1660,1142,111,23162,20680,2482,11072
gcc,14,5,1,16,1,plus1,0,3.194,0.967,0.033,29.822,0.708,0.292,2763,1350,1260,16673,11805,4868,8375
gcc,14,5,1,16,2,plus1,0,3.101,0.967,0.033,27.029,0.758,0.242,2434,1246,1085,16673,12637,4036,8375
gcc,14,5,1,16,3,plus1,0,3.108,0.967,0.033,27.216,0.766,0.234,2264,1230,971,16673,12779,3894,8375
gcc,14,5,1,16,4,plus1,0,3.113,0.967,0.033,27.372,0.775,0.225,2169,1182,949,16673,12928,3745,8375
gcc,14,5,1,16,5,plus1,0,3.141,0.967,0.033,28.220,0.775,0.225,2168,1131,1009,16673,12917,3756,8375
gcc,14,5,1,17,1,plus1,0,2.933,0.967,0.033,21.988,0.817,0.183,1919,1221,397,16673,13619,3054,8375
gcc,14,5,1,17,2,plus1,0,2.900,0.967,0.033,20.992,0.842,0.158,1734,1148,299,16673,14035,2638,8375
