trace,C1,B,S1,C2,S2,prefetch,r,L1_AAT,L1_HR,L1_MR,L2_AAT,L2_RHR,L2_RMR,PF_issued,PF_hits,PF_misses,L1_misses,L2_rhits,L2_rmisses,WB_L1
gcc,14,5,0,16,0,none,0,3.741,0.954,0.046,37.581,0.589,0.411,0,0,0,23162,13646,9516,11072
gcc,14,5,0,16,1,none,0,3.429,0.954,0.046,30.840,0.694,0.306,0,0,0,23162,16072,7090,11072
gcc,14,5,0,16,2,none,0,3.187,0.954,0.046,25.628,0.777,0.223,0,0,0,23162,18006,5156,11072
gcc,14,5,0,16,3,none,0,3.186,0.954,0.046,25.598,0.789,0.211,0,0,0,23162,18273,4889,11072
gcc,14,5,0,16,4,none,0,3.206,0.954,0.046,26.040,0.794,0.206,0,0,0,23162,18388,4774,11072
gcc,14,5,0,16,5,none,0,3.223,0.954,0.046,26.393,0.800,0.200,0,0,0,23162,18532,4630,11072
gcc,14,5,0,17,0,none,0,3.218,0.954,0.046,26.288,0.746,0.254,0,0,0,23162,17279,5883,11072
gcc,14,5,0,17,1,none,0,3.033,0.954,0.046,22.310,0.812,0.188,0,0,0,23162,18816,4346,11072
gcc,14,5,0,17,2,none,0,2.983,0.954,0.046,21.217,0.839,0.161,0,0,0,23162,19425,3737,11072
gcc,14,5,0,17,3,none,0,3.012,0.954,0.046,21.843,0.841,0.159,0,0,0,23162,19481,3681,11072
gcc,14,5,0,17,4,none,0,3.038,0.954,0.046,22.416,0.844,0.156,0,0,0,23162,19554,3608,11072
gcc,14,5,0,17,5,none,0,3.074,0.954,0.046,23.181,0.845,0.155,0,0,0,23162,19565,3597,11072
gcc,14,5,1,16,1,none,0,3.340,0.967,0.033,34.192,0.647,0.353,0,0,0,16673,10793,5880,8375
gcc,14,5,1,16,2,none,0,3.246,0.967,0.033,31.382,0.697,0.303,0,0,0,16673,11629,5044,8375
gcc,14,5,1,16,3,none,0,3.264,0.967,0.033,31.910,0.701,0.299,0,0,0,16673,11692,4981,8375
gcc,14,5,1,16,4,none,0,3.250,0.967,0.033,31.483,0.718,0.282,0,0,0,16673,11976,4697,8375
gcc,14,5,1,16,5,none,0,3.266,0.967,0.033,31.968,0.723,0.277,0,0,0,16673,12049,4624,8375
gcc,14,5,1,17,1,none,0,3.095,0.967,0.033,26.851,0.749,0.251,0,0,0,16673,12493,4180,8375
gcc,14,5,1,17,2,none,0,3.060,0.967,0.033,25.781,0.775,0.225,0,0,0,16673,12926,3747,8375
gcc,14,5,1,17,3,none,0,3.078,0.967,0.033,26.330,0.779,0.221,0,0,0,16673,12984,3689,8375
gcc,14,5,1,17,4,none,0,3.094,0.967,0.033,26.798,0.783,0.217,0,0,0,16673,13061,3612,8375
gcc,14,5,1,17,5,none,0,3.118,0.967,0.033,27.533,0.784,0.216,0,0,0,16673,13076,3597,8375
gcc,14,5,2,16,2,none,0,3.370,0.974,0.026,36.648,0.624,0.376,0,0,0,13238,8265,4973,7180
gcc,14,5,2,16,3,none,0,3.383,0.974,0.026,37.110,0.629,0.371,0,0,0,13238,8327,4911,7180
gcc,14,5,2,16,4,none,0,3.383,0.974,0.026,37.133,0.640,0.360,0,0,0,13238,8470,4768,7180
gcc,14,5,2,16,5,none,0,3.389,0.974,0.026,37.372,0.648,0.352,0,0,0,13238,8573,4665,7180
gcc,14,5,2,17,2,none,0,3.192,0.974,0.026,29.920,0.718,0.282,0,0,0,13238,9502,3736,7180
gcc,14,5,2,17,3,none,0,3.204,0.974,0.026,30.366,0.723,0.277,0,0,0,13238,9567,3671,7180
gcc,14,5,2,17,4,none,0,3.217,0.974,0.026,30.851,0.727,0.273,0,0,0,13238,9625,3613,7180
gcc,14,5,2,17,5,none,0,3.236,0.974,0.026,31.569,0.728,0.272,0,0,0,13238,9640,3598,7180
gcc,14,5,3,16,3,none,0,3.563,0.975,0.025,38.771,0.606,0.394,0,0,0,12415,7523,4892,6851
gcc,14,5,3,16,4,none,0,3.563,0.975,0.025,38.782,0.617,0.383,0,0,0,12415,7659,4756,6851
gcc,14,5,3,16,5,none,0,3.575,0.975,0.025,39.281,0.621,0.379,0,0,0,12415,7711,4704,6851
gcc,14,5,3,17,3,none,0,3.387,0.975,0.025,31.713,0.704,0.296,0,0,0,12415,8740,3675,6851
gcc,14,5,3,17,4,none,0,3.399,0.975,0.025,32.165,0.709,0.291,0,0,0,12415,8800,3615,6851
gcc,14,5,3,17,5,none,0,3.416,0.975,0.025,32.861,0.710,0.290,0,0,0,12415,8818,3597,6851
gcc,14,5,4,16,4,none,0,3.735,0.976,0.024,38.800,0.617,0.383,0,0,0,12052,7432,4620,6696
gcc,14,5,4,16,5,none,0,3.742,0.976,0.024,39.069,0.624,0.376,0,0,0,12052,7521,4531,6696
gcc,14,5,4,17,4,none,0,3.590,0.976,0.024,32.773,0.700,0.300,0,0,0,12052,8441,3611,6696
gcc,14,5,4,17,5,none,0,3.607,0.976,0.024,33.489,0.702,0.298,0,0,0,12052,8455,3597,6696
gcc,14,6,0,16,0,none,0,3.536,0.958,0.042,36.608,0.642,0.358,0,0,0,20976,13475,7501,8726
gcc,14,6,0,16,1,none,0,3.263,0.958,0.042,30.101,0.734,0.266,0,0,0,20976,15391,5585,8726
gcc,14,6,0,16,2,none,0,2.982,0.958,0.042,23.399,0.828,0.172,0,0,0,20976,17358,3618,8726
gcc,14,6,0,16,3,none,0,3.098,0.958,0.042,26.182,0.803,0.197,0,0,0,20976,16838,4138,8726
gcc,14,6,0,16,4,none,0,3.019,0.958,0.042,24.278,0.837,0.163,0,0,0,20976,17547,3429,8726
gcc,14,6,0,16,5,none,0,3.053,0.958,0.042,25.097,0.836,0.164,0,0,0,20976,17542,3434,8726
gcc,14,6,0,17,0,none,0,3.034,0.958,0.042,24.636,0.792,0.208,0,0,0,20976,16614,4362,8726
gcc,14,6,0,17,1,none,0,2.845,0.958,0.042,20.135,0.858,0.142,0,0,0,20976,18004,2972,8726
gcc,14,6,0,17,2,none,0,2.779,0.958,0.042,18.566,0.888,0.112,0,0,0,20976,18625,2351,8726
gcc,14,6,0,17,3,none,0,2.803,0.958,0.042,19.134,0.891,0.109,0,0,0,20976,18686,2290,8726
gcc,14,6,0,17,4,none,0,2.822,0.958,0.042,19.598,0.895,0.105,0,0,0,20976,18774,2202,8726
gcc,14,6,0,17,5,none,0,2.851,0.958,0.042,20.284,0.896,0.104,0,0,0,20976,18804,2172,8726
gcc,14,6,1,16,1,none,0,3.202,0.970,0.030,33.127,0.696,0.304,0,0,0,15127,10527,4600,6685
gcc,14,6,1,16,2,none,0,3.071,0.970,0.030,28.787,0.760,0.240,0,0,0,15127,11499,3628,6685
gcc,14,6,1,16,3,none,0,3.080,0.970,0.030,29.074,0.767,0.233,0,0,0,15127,11596,3531,6685
gcc,14,6,1,16,4,none,0,3.079,0.970,0.030,29.065,0.777,0.223,0,0,0,15127,11749,3378,6685
gcc,14,6,1,16,5,none,0,3.096,0.970,0.030,29.600,0.780,0.220,0,0,0,15127,11799,3328,6685
gcc,14,6,1,17,1,none,0,2.914,0.970,0.030,23.608,0.815,0.185,0,0,0,15127,12327,2800,6685
gcc,14,6,1,17,2,none,0,2.870,0.970,0.030,22.139,0.843,0.157,0,0,0,15127,12756,2371,6685
gcc,14,6,1,17,3,none,0,2.881,0.970,0.030,22.500,0.849,0.151,0,0,0,15127,12839,2288,6685
