trace,C1,B,S1,C2,S2,prefetch,r,L1_AAT,L1_HR,L1_MR,L2_AAT,L2_RHR,L2_RMR,PF_issued,PF_hits,PF_misses,L1_misses,L2_rhits,L2_rmisses,WB_L1
gcc,14,6,2,16,4,hybrid,32,3.132,0.977,0.023,32.035,0.740,0.260,1836,668,1144,11427,8451,2976,5301
gcc,14,6,2,16,4,hybrid,64,3.126,0.977,0.023,31.776,0.743,0.257,1817,687,1105,11427,8488,2939,5301
gcc,14,6,2,16,4,hybrid,128,3.106,0.977,0.023,30.908,0.754,0.246,1740,737,983,11427,8612,2815,5301
gcc,14,6,2,16,4,hybrid,256,3.098,0.977,0.023,30.544,0.758,0.242,1761,784,958,11427,8664,2763,5301
gcc,14,6,2,16,4,hybrid,512,3.095,0.977,0.023,30.418,0.760,0.240,1767,794,956,11427,8682,2745,5301
gcc,14,6,2,17,3,hybrid,4,2.913,0.977,0.023,22.428,0.850,0.150,1159,641,353,11427,9709,1718,5301
gcc,14,6,2,17,3,hybrid,16,2.912,0.977,0.023,22.386,0.850,0.150,1160,644,350,11427,9715,1712,5301
gcc,14,6,2,17,3,hybrid,32,2.912,0.977,0.023,22.386,0.850,0.150,1157,644,347,11427,9715,1712,5301
gcc,14,6,2,17,3,hybrid,64,2.911,0.977,0.023,22.358,0.851,0.149,1149,646,339,11427,9719,1708,5301
gcc,14,6,2,17,3,hybrid,128,2.911,0.977,0.023,22.344,0.851,0.149,1141,652,326,11427,9721,1706,5301
gcc,14,6,2,17,3,hybrid,256,2.909,0.977,0.023,22.260,0.852,0.148,1136,656,318,11427,9733,1694,5301
gcc,14,6,2,17,3,hybrid,512,2.908,0.977,0.023,22.246,0.852,0.148,1132,660,311,11427,9735,1692,5301
gcc,14,6,2,17,4,hybrid,4,2.922,0.977,0.023,22.822,0.855,0.145,1128,643,341,11427,9767,1660,5301
gcc,14,6,2,17,4,hybrid,16,2.922,0.977,0.023,22.822,0.855,0.145,1127,643,340,11427,9767,1660,5301
gcc,14,6,2,17,4,hybrid,32,2.922,0.977,0.023,22.829,0.855,0.145,1123,643,335,11427,9766,1661,5301
gcc,14,6,2,17,4,hybrid,64,2.921,0.977,0.023,22.808,0.855,0.145,1126,645,336,11427,9769,1658,5301
gcc,14,6,2,17,4,hybrid,128,2.920,0.977,0.023,22.773,0.855,0.145,1125,648,333,11427,9774,1653,5301
gcc,14,6,2,17,4,hybrid,256,2.920,0.977,0.023,22.766,0.855,0.145,1125,649,332,11427,9775,1652,5301
gcc,14,6,2,17,4,hybrid,512,2.920,0.977,0.023,22.745,0.856,0.144,1122,652,326,11427,9778,1649,5301
gcc,14,6,3,16,3,hybrid,4,3.321,0.978,0.022,32.883,0.719,0.281,1881,684,1161,10963,7882,3081,5151
gcc,14,6,3,16,3,hybrid,16,3.320,0.978,0.022,32.825,0.720,0.280,1874,684,1154,10963,7890,3073,5151
gcc,14,6,3,16,3,hybrid,32,3.313,0.978,0.022,32.540,0.723,0.277,1846,699,1112,10963,7929,3034,5151
gcc,14,6,3,16,3,hybrid,64,3.309,0.978,0.022,32.336,0.726,0.274,1806,704,1068,10963,7957,3006,5151
gcc,14,6,3,16,3,hybrid,128,3.291,0.978,0.022,31.533,0.736,0.264,1762,751,975,10963,8067,2896,5151
gcc,14,6,3,16,3,hybrid,256,3.282,0.978,0.022,31.117,0.741,0.259,1753,806,915,10963,8124,2839,5151
gcc,14,6,3,16,3,hybrid,512,3.278,0.978,0.022,30.920,0.744,0.256,1714,797,884,10963,8151,2812,5151
gcc,14,6,3,16,4,hybrid,4,3.338,0.978,0.022,33.668,0.719,0.281,1905,648,1233,10963,7884,3079,5151
gcc,14,6,3,16,4,hybrid,16,3.335,0.978,0.022,33.508,0.721,0.279,1882,653,1206,10963,7906,3057,5151
gcc,14,6,3,16,4,hybrid,32,3.327,0.978,0.022,33.143,0.726,0.274,1843,659,1160,10963,7956,3007,5151
gcc,14,6,3,16,4,hybrid,64,3.315,0.978,0.022,32.603,0.732,0.268,1806,687,1096,10963,8030,2933,5151
gcc,14,6,3,16,4,hybrid,128,3.297,0.978,0.022,31.793,0.743,0.257,1743,736,985,10963,8141,2822,5151
gcc,14,6,3,16,4,hybrid,256,3.288,0.978,0.022,31.370,0.748,0.252,1772,796,959,10963,8199,2764,5151
